cell_TRBV,het_1MF1_mHTO01,het_1MF1_mHTO02,het_1MF1_mHTO04,het_1MF1_mHTO05,het_1MF1_freq,het_3MF1_mHTO01,het_3MF1_mHTO02,het_3MF1_mHTO04,het_3MF1_mHTO05,het_3MF1_freq,ko_1MF2_mHTO01,ko_1MF2_mHTO02,ko_1MF2_mHTO04,ko_1MF2_mHTO05,ko_1MF2_freq,ko_3MF2_mHTO01,ko_3MF2_mHTO02,ko_3MF2_mHTO04,ko_3MF2_mHTO05,ko_3MF2_freq
TRBV1,26,72,59,79,236,19,35,42,43,139,37,50,69,61,217,17,43,51,49,160
TRBV10,29,49,61,49,188,21,16,25,32,94,33,33,53,36,155,14,23,25,20,82
TRBV12-1,33,96,165,129,423,13,9,53,58,133,29,60,121,89,299,15,61,53,65,194
TRBV12-2,29,86,106,111,332,15,17,28,55,115,22,56,87,86,251,6,71,46,53,176
TRBV12-2+TRBV13-2,37,66,114,126,343,30,21,38,54,143,35,45,120,88,288,24,32,44,48,148
TRBV13-1,31,75,104,86,296,21,20,41,39,121,49,55,72,60,236,7,49,48,44,148
TRBV13-2,16,32,12,10,70,9,19,10,9,47,15,24,12,9,60,5,10,15,6,36
TRBV13-3,22,76,83,86,267,15,28,53,46,142,18,45,96,68,227,9,48,59,50,166
TRBV14,13,15,43,34,105,11,4,18,26,59,16,17,41,27,101,6,20,30,29,85
TRBV15,32,38,53,54,177,24,27,25,35,111,29,28,41,31,129,7,33,26,16,82
TRBV16,19,81,91,97,288,16,33,39,66,154,27,48,77,62,214,14,57,59,35,165
TRBV17,14,43,33,38,128,7,12,21,28,68,13,31,33,30,107,5,25,21,21,72
TRBV19,25,62,115,108,310,26,21,41,54,142,34,53,99,64,250,21,37,62,67,187
TRBV2,23,64,66,47,200,16,26,32,41,115,23,51,50,41,165,10,50,42,39,141
TRBV20,12,26,26,35,99,12,10,19,17,58,25,18,22,16,81,11,10,11,7,39
TRBV23,4,17,5,7,33,8,6,4,9,27,4,13,6,9,32,0,10,2,2,14
TRBV26,22,25,37,30,114,16,7,23,16,62,25,20,38,35,118,9,10,25,21,65
TRBV29,20,44,71,71,206,14,10,34,41,99,19,38,59,53,169,3,41,37,31,112
TRBV3,33,80,118,130,361,23,36,38,52,149,31,45,97,54,227,14,57,61,45,177
TRBV30,0,3,4,4,11,0,0,1,4,5,2,4,5,1,12,0,1,4,2,7
TRBV31,18,49,61,54,182,10,36,17,33,96,28,30,69,49,176,8,24,32,33,97
TRBV5,48,72,77,81,278,20,31,24,36,111,39,50,73,52,214,10,44,49,33,136
