gene,type,in_dataset
Tcra,TCR_components,no
Tra,TCR_components,no
Tcrb,TCR_components,no
Trb,TCR_components,no
Cd3g,TCR_components,yes
Cd3d,TCR_components,yes
Cd3e,TCR_components,yes
Cd3z,TCR_components,no
Cd247,TCR_components,yes
Cd4,CoReceptors_CoSignalingMolecules,yes
Cd8a,CoReceptors_CoSignalingMolecules,yes
Cd8b1,CoReceptors_CoSignalingMolecules,yes
Cd8b,CoReceptors_CoSignalingMolecules,no
Cd28,CoReceptors_CoSignalingMolecules,yes
Cd5,CoReceptors_CoSignalingMolecules,yes
Cd69,CoReceptors_CoSignalingMolecules,yes
Cd127,cytokineReceptors_chemokineReceptors,no
Cd122,cytokineReceptors_chemokineReceptors,no
gamma-c,cytokineReceptors_chemokineReceptors,no
Cd132,cytokineReceptors_chemokineReceptors,no
Ccr7,cytokineReceptors_chemokineReceptors,yes
Ccr9,cytokineReceptors_chemokineReceptors,yes
Ccr4,cytokineReceptors_chemokineReceptors,yes
Cxcr4,cytokineReceptors_chemokineReceptors,yes
S1pr1,cytokineReceptors_chemokineReceptors,yes
Itga4,adhesionMolecules_guidanceMolecules,yes
Itga5,adhesionMolecules_guidanceMolecules,yes
Itga6,adhesionMolecules_guidanceMolecules,yes
Itgal,adhesionMolecules_guidanceMolecules,yes
Itgb1,adhesionMolecules_guidanceMolecules,yes
Itgb2,adhesionMolecules_guidanceMolecules,yes
Itgb4,adhesionMolecules_guidanceMolecules,yes
Itgb7,adhesionMolecules_guidanceMolecules,yes
Sema3e,adhesionMolecules_guidanceMolecules,no
Plxnd1,adhesionMolecules_guidanceMolecules,yes
CD24,otherSurfaceMolecules,no
Cd24,otherSurfaceMolecules,no
H2-K1,otherSurfaceMolecules,yes
H2-k1,otherSurfaceMolecules,no
H2-D,otherSurfaceMolecules,no
H2-d,otherSurfaceMolecules,no
Qa2,otherSurfaceMolecules,no
H2-Q6,otherSurfaceMolecules,yes
H2-q6,otherSurfaceMolecules,no
Zap70,signalMolecules,yes
Themis,signalMolecules,yes
Bcl2-AX,signalMolecules,no
Bax,signalMolecules,yes
Bcl2-AX1,signalMolecules,no
Bak1,signalMolecules,yes
Bcl2,signalMolecules,yes
Bcl2-L1,signalMolecules,no
Bcl2l1,signalMolecules,yes
Mcl1,signalMolecules,yes
Bcl2-L11,signalMolecules,no
Bcl2l11,signalMolecules,yes
Bcl2-BC3,signalMolecules,no
Bbc3,signalMolecules,yes
Socs1,transcriptionFactors,yes
Runx3,transcriptionFactors,yes
Runx3d,transcriptionFactors,no
Nr4a1,transcriptionFactors,yes
Zbtb7b,transcriptionFactors,yes
Rorc,transcriptionFactors,yes
Zbtb16,transcriptionFactors,no
Id2,transcriptionFactors,yes
Id3,transcriptionFactors,yes
Gfi1,transcriptionFactors,yes
Foxo1,transcriptionFactors,yes
KLF2,transcriptionFactors,no
Klf2,transcriptionFactors,yes
Rag1,otherMolecules,yes
Rag2,otherMolecules,yes
St3gal1,otherMolecules,yes
St3gal2,otherMolecules,yes
St3gal3,otherMolecules,yes
St3gal5,otherMolecules,yes
Gimap1,otherMolecules,yes
Gimap4,otherMolecules,yes
Gimap5,otherMolecules,yes
